version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single
n_size,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000
run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0011880000000000224,0.007695999999999925,0.04798400000000047,0.027055000000000717,0.0278419999999997,0.05057000000000045,0.05082199999999659,0.043970999999999094,0.057151000000004615,0.0787559999999985,1.58275900000001,0.0018279999999999408,0.009100999999999804,0.017754000000000048,0.026141000000000858,0.037836999999999676,0.044478000000005125,0.05560899999999691,0.059625999999994406,0.06656300000000215,0.07729600000000403,2.482571000000007,0.002431000000000072,0.006834999999999702,0.02646700000000024,0.020967999999999876,0.04847200000000029,0.0852429999999984,0.03427199999999431,0.0425690000000003,0.046189999999995734,0.12390099999998938,1.8115419999999176
19,0.0012460000000000249,0.006480999999999959,0.011885999999999619,0.020439999999998903,0.042472000000000065,0.07168300000000016,0.04878499999999519,0.05326799999999565,0.053948000000005436,0.07519000000000631,2.5085980000000063,0.0018119999999999248,0.009268000000000054,0.017692999999999515,0.02768999999999977,0.0360859999999974,0.04533900000000557,0.052489999999998815,0.05856500000000153,0.06790300000000116,0.07488600000000645,2.441569999999956,0.001690999999999998,0.00734199999999996,0.029164999999998997,0.028959999999997876,0.019110000000001293,0.09979200000000077,0.03795799999999616,0.07413200000000586,0.053175000000010186,0.13090700000000766,4.7634109999999055
20,0.0013769999999999616,0.009333000000000036,0.01594600000000046,0.023740000000000094,0.024410999999997074,0.059098000000002315,0.053207999999997924,0.04071100000000172,0.07206000000000756,0.06525200000000098,2.1219389999999976,0.001747000000000054,0.009637000000000118,0.01764299999999963,0.026507999999999754,0.03550199999999748,0.046962000000000614,0.04994899999999802,0.06307499999999777,0.06960699999999065,0.07774100000000317,2.4278790000000754,0.0025600000000000067,0.008201000000000125,0.019229999999998526,0.029878999999997546,0.039947999999998984,0.04769199999999785,0.04223100000000102,0.04350800000000277,0.03779799999999511,0.06053899999999146,2.8361039999999775
21,0.0013370000000000326,0.006893000000000038,0.011612999999999651,0.027198000000000278,0.027923999999998728,0.03408799999999701,0.06787700000000285,0.03792800000000085,0.07967299999999966,0.06747699999999668,2.15310199999999,0.0017289999999999806,0.009290999999999716,0.01760999999999946,0.027428999999999704,0.0354290000000006,0.04508200000000073,0.051485999999997034,0.06749700000000303,0.06645199999999818,0.07488499999999476,2.548748000000046,0.001535000000000064,0.012960000000000083,0.015254000000000545,0.03306100000000001,0.03153400000000062,0.042059000000001845,0.07124699999999962,0.08451700000000528,0.060755000000000337,0.03260000000000218,5.384057999999868
22,0.0014280000000000403,0.008055999999999841,0.01702199999999987,0.027784999999999727,0.037009999999998655,0.03282100000000199,0.036775999999996145,0.05800699999999637,0.046368000000001075,0.08730899999999053,1.6643829999999298,0.0018080000000000318,0.009149999999999991,0.017694000000000543,0.026809999999999334,0.03547000000000011,0.04908400000000057,0.05073300000000103,0.06230000000000757,0.06535100000000682,0.07419099999999901,2.568392000000017,0.003478999999999899,0.008410000000000029,0.0407150000000005,0.04545199999999738,0.028488999999996878,0.03968699999999359,0.05683099999999541,0.08549700000000371,0.03796400000000233,0.06510400000000516,3.0381170000000566
23,0.0011359999999999704,0.010717000000000088,0.015348000000000361,0.027910000000000323,0.03199799999999797,0.039001000000002506,0.03640800000000155,0.03961299999999568,0.04923700000000508,0.07648499999999103,2.108255999999983,0.0017579999999999263,0.009137000000000395,0.017680000000000362,0.027195999999999998,0.03606399999999965,0.051856999999998266,0.052385000000001014,0.05741199999999935,0.06473599999999635,0.0930359999999979,2.5945809999999483,0.0018739999999999313,0.00927699999999998,0.051567999999999614,0.03386799999999823,0.037366999999999706,0.04614100000000576,0.02874199999999405,0.051563999999999055,0.06081700000000012,0.0854670000000084,5.978386
24,0.0014620000000000188,0.0066349999999999465,0.01344299999999965,0.0224650000000004,0.027608000000000743,0.051349000000001865,0.03951099999999741,0.05782299999999907,0.051517999999987296,0.059993999999989,1.5130980000000136,0.0017730000000000246,0.009119999999999795,0.01824600000000043,0.026706000000000785,0.034078999999998416,0.04451199999999744,0.04999899999999968,0.05785499999998933,0.0649789999999939,0.07895100000000355,2.5366330000000517,0.0016159999999999508,0.008703000000000127,0.014564000000000021,0.03187300000000093,0.03208600000000317,0.08835899999999697,0.05678100000000086,0.13362399999999752,0.04655600000000959,0.14183599999999785,2.5219939999999497
25,0.0017550000000000066,0.006808999999999843,0.017451000000000327,0.02303099999999958,0.03010099999999838,0.030739000000000516,0.03788299999999367,0.043680999999999415,0.06160500000000013,0.06560699999999997,1.737924000000021,0.0017759999999999998,0.009133999999999975,0.017732999999999777,0.02679400000000065,0.03536400000000128,0.044238,0.0495029999999943,0.06183099999999797,0.06521800000000155,0.07399200000000405,2.5744680000000244,0.0033480000000000176,0.010267000000000248,0.029804000000000386,0.02292100000000019,0.03200899999999862,0.04983000000000004,0.08603199999999589,0.06832099999999741,0.15931700000000149,0.052374000000000365,3.2642349999998714
26,0.00121899999999997,0.011036999999999964,0.013579000000000008,0.02013600000000082,0.029323999999999018,0.028324999999998823,0.03790000000000049,0.05016299999999774,0.047043000000002166,0.05975599999999304,1.5759600000000091,0.0017599999999999838,0.009093000000000018,0.017735000000000056,0.026975000000000193,0.03609000000000151,0.04487400000000008,0.04934899999999942,0.06031099999999867,0.06616800000000467,0.07420700000000124,2.4380310000000236,0.0014650000000000496,0.010947999999999958,0.016275999999999513,0.021074000000002258,0.04647799999999691,0.08605000000000018,0.04044600000000287,0.034610000000000696,0.07742199999999855,0.11945099999999798,1.3953599999999824
27,0.0011229999999999851,0.007973999999999926,0.012895999999999574,0.03493800000000036,0.024610999999996608,0.04486100000000093,0.0489029999999957,0.05357300000000009,0.08007599999999115,0.059385000000006016,1.9434929999999895,0.0018219999999999903,0.009077000000000002,0.017558999999999436,0.026272000000000517,0.03586199999999806,0.04439599999999899,0.05114900000000233,0.0599990000000048,0.06636100000000056,0.07816700000000765,2.5485649999999396,0.0010779999999999124,0.006336999999999815,0.013310000000000599,0.03450099999999878,0.016007999999999356,0.06841299999999961,0.03484499999999713,0.06756099999999776,0.09058000000000277,0.07311699999999632,1.581344000000172
