version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample
n_size,256,1024,1764,2500,3136,3844,4624,256,1024,1764,2500,3136,3844,4624,256,1024,1764,2500,3136,3844,4624
run,,,,,,,,,,,,,,,,,,,,,
33,0.007280000000000064,0.007586000000003423,0.1454909999999927,0.026824000000033266,0.09768500000018321,0.022519000000102096,,0.006702000000000652,0.18554299999999557,0.22123199999998633,0.3889520000000175,0.6620159999997668,0.3369159999997464,,0.02572500000000133,0.07164799999998195,0.23817200000007688,0.14868599999999788,0.24470599999995102,0.682788999999957,
34,0.0012599999999999278,0.012046000000005108,0.25047600000004877,0.4573609999999917,0.13129000000003543,1.2235900000000584,,0.006850000000000023,0.0686719999999923,0.013384000000030483,0.10021100000017213,0.222454000000198,0.289386999999806,,0.055151999999999646,0.06321800000000621,0.06516099999998914,0.15001199999983328,0.1277509999999893,0.250007000000096,
35,0.013127,0.17576599999999587,0.01951000000002523,0.047300999999947635,0.12991899999997258,0.25108099999988553,,0.02905499999999961,0.07741400000000453,0.07836300000002439,0.18821100000013757,0.48876400000017384,0.030807999999979074,,0.013196000000000652,0.006025999999991427,0.14802000000008775,0.14929299999994328,0.23630400000001828,0.3113559999997051,
36,0.004161000000000081,0.12254599999999982,0.06548500000002377,0.82172300000002,0.25256899999999405,0.8244359999998778,,0.0052629999999993515,0.00715900000000147,0.13006300000000692,0.03475899999989451,0.06449400000019523,0.22376600000006874,,0.023979999999998114,0.08316899999999805,0.033668000000034226,0.2999569999999494,0.42895899999984977,0.08608000000003813,
37,0.0010829999999999451,0.08691300000000268,0.19390200000003688,0.02290600000003451,0.09892500000000837,0.7997080000000096,,0.005216000000000776,0.06888000000000716,0.06599699999998165,0.3755310000001373,0.08588999999983571,0.5382779999999912,,0.0013639999999988106,0.14411899999998923,0.0692229999999654,0.05869499999994332,0.3243619999998373,2.092673999999988,
38,0.007970000000000033,0.005036999999994407,0.03262399999999843,0.19053199999996195,0.1263770000000477,0.2734770000001845,,0.0035020000000010043,0.2058540000000022,0.4251170000000002,0.01759999999990214,0.11397500000020955,0.7454250000000684,,0.005092999999998682,0.04097400000000562,0.14594900000008693,0.026466000000027634,0.20067100000005667,0.9381759999996575,
39,0.008359000000000005,0.06699199999999905,0.03742299999998977,0.23099200000001474,0.3016700000000583,0.49694399999998495,,0.013703999999998828,0.04144699999999091,0.36703299999999217,0.35752900000011323,1.0840789999997469,0.5971639999997933,,0.004228999999998706,0.03705600000000686,0.023549000000002707,0.38776499999994485,0.1423650000001544,1.7314530000003288,
40,0.014087000000000072,0.034962999999997635,0.2416820000000257,0.02858600000001843,0.6453500000000076,0.37405900000021575,,0.018363000000000795,0.06167500000000814,0.16905700000000934,0.11839200000008532,0.9804799999997158,0.19667200000003504,,0.0015849999999986153,0.027478000000002112,0.0688110000000961,0.05825600000002851,0.8849679999998443,0.38973699999996825,
41,0.030387000000000053,0.22854999999999848,0.04626000000001795,0.4762039999999388,0.10886599999980717,0.3137970000002497,,0.013327999999999562,0.04815099999999006,0.28469499999999925,0.6350290000000314,0.48899900000014895,0.33203099999991537,,0.025885999999999854,0.14734799999999382,0.03676699999994071,0.19162299999993593,0.22084099999983664,0.405156000000261,
42,0.016071999999999975,0.021115999999999246,0.015182000000038443,0.062409999999999854,0.3784810000001926,0.09882300000026589,,0.005053000000000196,0.062072999999998046,0.3714439999999968,0.05138699999997698,0.21475199999986216,0.2981729999996787,,0.014635999999999427,0.16419700000000148,0.2710589999999229,0.3863850000000184,0.0988430000002154,0.28014699999994264,
